subject,relation,object,confidence,source_file,sentence
xor b s link address,related_to,c,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
xor b s link address,related_to,c c lect,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node b link xor address node c xor b,related_to,link address,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node b link xor address node c xor b,related_to,previous node,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node b link xor address node c xor b,related_to,come,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node b link xor address node c xor b,related_to,c,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
node b link xor address node c xor b,related_to,c c lect,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
link address,related_to,previous node,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
link address,related_to,come,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
link address,related_to,c,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
link address,related_to,c c lect,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
previous node,related_to,come,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
previous node,related_to,c,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
previous node,related_to,c c lect,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
come,related_to,c,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
come,related_to,c c lect,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
c,related_to,c c lect,0.4,cs1_clean.txt,address node b link xor address node c xor b s link address previous node come xor c xor xor xor c nil xor c c lect
onet zsuzsanna data structures,algorithm,xor link list representation,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list representation
node,related_to,info telem,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
node,related_to,structure,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
node,related_to,xor,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
node,related_to,list node list xornode info telem link xornode xorlist head,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
info telem,related_to,structure,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
info telem,related_to,xor,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
info telem,related_to,list node list xornode info telem link xornode xorlist head,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
structure,related_to,xor,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
structure,related_to,list node list xornode info telem link xornode xorlist head,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
xor,related_to,list node list xornode info telem link xornode xorlist head,0.4,cs1_clean.txt,need structure represent xor linked list node list xornode info telem link xornode xorlist head xornode
link,list,traversal subalgorithm,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list traversal subalgorithm
xorl xorlist,related_to,xorl xorlist true content list print prevnode nil currentnode currentnode nil execute write,0.4,cs1_clean.txt,xorl xorlist true content list print prevnode nil currentnode currentnode nil execute write
nextnode,related_to,nextnode prevnode xor prevnode currentnode currentnode,0.4,cs1_clean.txt,nextnode prevnode xor prevnode currentnode currentnode nextnode end end subalgorithm complexity n lect
nextnode,related_to,nextnode end end subalgorithm complexity,0.4,cs1_clean.txt,nextnode prevnode xor prevnode currentnode currentnode nextnode end end subalgorithm complexity n lect
nextnode prevnode xor prevnode currentnode currentnode,related_to,nextnode end end subalgorithm complexity,0.4,cs1_clean.txt,nextnode prevnode xor prevnode currentnode currentnode nextnode end end subalgorithm complexity n lect
addtobeginne,add,element beginning list,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list addtobeginne add element beginning list
addtobeginne,add,element beginning list,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list addtobeginne add element beginning list
xorl xorlist node info elem,add,beginning list newnode,1.0,cs1_clean.txt,xorl xorlist node info elem add beginning list newnode allocate
elem nil newnode,related_to,elem nil newnode newnode xor newnode newnode end end subalgorithm complexity lect,0.4,cs1_clean.txt,elem nil newnode newnode xor newnode newnode end end subalgorithm complexity lect
addtobeginne,add,element beginning list,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms xor link list addtobeginne add element beginning list
xorl xorlist node info elem,add,beginning list newnode,1.0,cs1_clean.txt,xorl xorlist node info elem add beginning list newnode allocate
elem nil newnode,related_to,elem nil newnode newnode xor newnode newnode end end subalgorithm complexity lect,0.4,cs1_clean.txt,elem nil newnode newnode xor newnode newnode end end subalgorithm complexity lect
onet zsuzsanna data structures algorithms skip lists,assume,element,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms skip lists assume want memorize sequence sorted element
element store dynamic array link list,let,list,1.0,cs1_clean.txt,element store dynamic array link list let s doubly link list
frequently operation insertion new element,related_to,data structure insertion,0.4,cs1_clean.txt,know frequently operation insertion new element want choose data structure insertion good complexity
frequently operation insertion new element,related_to,good complexity,0.4,cs1_clean.txt,know frequently operation insertion new element want choose data structure insertion good complexity
data structure insertion,related_to,good complexity,0.4,cs1_clean.txt,know frequently operation insertion new element want choose data structure insertion good complexity
insertion operation step,find,insert insert element lect,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms skip lists divide insertion operation step find insert insert element lect
position,optimize,binary search insertion,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms skip lists divide insertion operation step find insert insert element dynamic array find position optimize binary search insertion
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms skip list,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list
skip list data structure,allow,fast search order link list,1.0,cs1_clean.txt,skip list data structure allow fast search order link list
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms skip list,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list
skip list data structure,allow,fast search order link list,1.0,cs1_clean.txt,skip list data structure allow fast search order link list
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms skip list,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list
skip list data structure,allow,fast search order link list,1.0,cs1_clean.txt,skip list data structure allow fast search order link list
order link list,add,second node pointer skip element,1.0,cs1_clean.txt,start order link list add second node pointer skip element
fourth,related_to,node,0.4,cs1_clean.txt,add fourth node pointer skip element
fourth,related_to,fourth node pointer skip element,0.4,cs1_clean.txt,add fourth node pointer skip element
node,related_to,fourth node pointer skip element,0.4,cs1_clean.txt,add fourth node pointer skip element
onet zsuzsanna,related_to,node,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms skip list,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
onet zsuzsanna,related_to,h t special node,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
onet zsuzsanna,related_to,head tail,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
node,related_to,onet zsuzsanna data structures algorithms skip list,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
node,related_to,h t special node,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
node,related_to,head tail,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
onet zsuzsanna data structures algorithms skip list,related_to,h t special node,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
onet zsuzsanna data structures algorithms skip list,related_to,head tail,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
h t special node,related_to,head tail,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list h t special node represent head tail
delete exist list,need,height list,1.0,cs1_clean.txt,delete exist list need height list
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms skip list search search element,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list search search element
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms skip list low level n element,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list low level n element
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms skip list insert insert element,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list insert insert element
node,related_to,high new node,0.4,cs1_clean.txt,high new node
onet zsuzsanna,related_to,node,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list insert height new node determine randomly method call coin flip
onet zsuzsanna,related_to,insert height,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list insert height new node determine randomly method call coin flip
onet zsuzsanna,related_to,randomly method call coin flip,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list insert height new node determine randomly method call coin flip
node,related_to,insert height,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list insert height new node determine randomly method call coin flip
node,related_to,randomly method call coin flip,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list insert height new node determine randomly method call coin flip
insert height,related_to,randomly method call coin flip,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list insert height new node determine randomly method call coin flip
method,guarantee,approximately half node level quarter level,1.0,cs1_clean.txt,method guarantee approximately half node level quarter level etc
node,related_to,height node,0.4,cs1_clean.txt,assume randomly generate height node
onet zsuzsanna data structures algorithms skip list skip lists probabilistic data structure,decide,newly insert node,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list skip lists probabilistic data structure decide randomly height newly insert node
node,related_to,bad case node height link list,0.4,cs1_clean.txt,bad case node height link list
onet zsuzsanna data structures algorithms skip list representation idea,represent,skip list,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list representation idea represent skip list
onet zsuzsanna data structures algorithms skip list representation idea,represent,skip list,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list representation idea represent skip list
link list,need,structure node,1.0,cs1_clean.txt,link list need structure node
approach,define,node node array pointer pointer different level,1.0,cs1_clean.txt,approach define node node array pointer pointer different level
node single,related_to,node single pointer pointer point node level,0.4,cs1_clean.txt,node single pointer pointer point node level
important issue,decide,doubly link list,1.0,cs1_clean.txt,important issue decide singly doubly link list
combination level,related_to,doubly link list high level,0.4,cs1_clean.txt,maybe combination level doubly link list high level singly link
onet zsuzsanna,related_to,node,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list implementation idea possible special head tail node maximum possible height
onet zsuzsanna,related_to,special head tail,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list implementation idea possible special head tail node maximum possible height
node,related_to,special head tail,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms skip list implementation idea possible special head tail node maximum possible height
order,need,store node pass search position,1.0,cs1_clean.txt,order able potentially need store node pass search position
node,involve,path,1.0,cs1_clean.txt,case node involve path
start,head,node high level,1.0,cs1_clean.txt,example previously figure want remove immediately find start head node high level
pointer node,related_to,need,0.4,cs1_clean.txt,remove pointer node need change
pointer node,related_to,change,0.4,cs1_clean.txt,remove pointer node need change
need,related_to,change,0.4,cs1_clean.txt,remove pointer node need change
onet zsuzsanna,related_to,node,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms disadvantages skip list disadvantage skip list use extra space memorize extra link n element need node
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms disadvantages skip list disadvantage skip list use extra space memorize extra link n element need node
onet zsuzsanna,related_to,extra link n element,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms disadvantages skip list disadvantage skip list use extra space memorize extra link n element need node
node,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms disadvantages skip list disadvantage skip list use extra space memorize extra link n element need node
node,related_to,extra link n element,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms disadvantages skip list disadvantage skip list use extra space memorize extra link n element need node
onet zsuzsanna data structures,related_to,extra link n element,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms disadvantages skip list disadvantage skip list use extra space memorize extra link n element need node
basic version skip list,related_to,unidirectional singly link list,0.4,cs1_clean.txt,basic version skip list unidirectional singly link list
little skip list node,contain,array pointer benefit cache descend level,1.0,cs1_clean.txt,disadvantage reduce little skip list node contain array pointer benefit cache descend level
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays lect
onet zsuzsanna,related_to,lists arrays,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays lect
onet zsuzsanna data structures algorithms,related_to,lists arrays,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays lect
onet zsuzsanna data structures algorithms,link,lists arrays,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays
link list work programming language,related_to,pointer reference,0.4,cs1_clean.txt,need link list work programming language offer pointer reference
link datum structure explicit use pointer memory address,related_to,simulate,0.4,cs1_clean.txt,implement link datum structure explicit use pointer memory address simulate array array index
onet zsuzsanna data structures algorithms,link,lists,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays usually work array store element array start leftmost position place space middle array allow
array store element array,start,leftmost position place space middle array,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays usually work array store element array start leftmost position place space middle array allow
order element,give,array,1.0,cs1_clean.txt,order element give order place array
order element,give,relative position array integer number associate element show index element array singly link list,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays define link data structure array consider order element give relative position array integer number associate element show index element array singly link list
onet zsuzsanna data structures algorithms,link,lists arrays,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays
array,need,modify link order element lect,1.0,cs1_clean.txt,want delete number actually second element list element left array need modify link order element lect
onet zsuzsanna data structures algorithms,link,lists,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays want insert new element example position list element array important set link correctly order element lect
arrays,want,insert new element example position list element array important set link correctly order element lect,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays want insert new element example position list element array important set link correctly order element lect
onet zsuzsanna data structures algorithms,link,lists arrays,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays new element need insert position array
order,avoid,link list position,1.0,cs1_clean.txt,order avoid link list position
onet zsuzsanna data structures algorithms,link,lists arrays,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays formal way simulate singly link list array following array store element
linked,following,array store element,0.7,cs1_clean.txt,onet zsuzsanna data structures algorithms linked lists arrays formal way simulate singly link list array following array store element
capacity array array capacity,need,value,1.0,cs1_clean.txt,capacity array array capacity need value
index,tell,head list,1.0,cs1_clean.txt,index tell head list
onet zsuzsanna data structures,algorithm,sll array representation,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms sll array representation
representation singly link list array,follow,slla,1.0,cs1_clean.txt,representation singly link list array follow slla
integer cap integer,related_to,integer cap integer head integer firstempty integer lect,0.4,cs1_clean.txt,integer cap integer head integer firstempty integer lect
onet zsuzsanna data structures,algorithm,slla operations,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla operations
sll insert beginning end position,give,delete beginning end position,1.0,cs1_clean.txt,implement slla operation implement sll insert beginning end position give value delete beginning end position give element search element element position lect
onet zsuzsanna data structures,algorithm,slla search function search slla elem,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla search function search slla elem
slla slla elem telem,return,false current current,1.0,cs1_clean.txt,slla slla elem telem return true elem slla false current current
onet zsuzsanna data structures,algorithm,slla search function search slla elem,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla search function search slla elem
slla slla elem telem,return,false current current,1.0,cs1_clean.txt,slla slla elem telem return true elem slla false current current
slla search search function element slla similar traversal sll,need,current element traversal initialize index head list,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla search search function element slla similar traversal sll need current element traversal initialize index head list
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity lect
onet zsuzsanna,related_to,slla init,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity lect
onet zsuzsanna,related_to,true post slla slla init capacity,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity lect
onet zsuzsanna data structures,related_to,slla init,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity lect
onet zsuzsanna data structures,related_to,true post slla slla init capacity,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity lect
slla init,related_to,true post slla slla init capacity,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity lect
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity array position array position execute end
onet zsuzsanna,related_to,slla init,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity array position array position execute end
onet zsuzsanna data structures,related_to,slla init,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity array position array position execute end
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity array position array position execute end
onet zsuzsanna,related_to,slla init,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity array position array position execute end
onet zsuzsanna data structures,related_to,slla init,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms slla init subalgorithm true post slla slla init capacity array position array position execute end
onet zsuzsanna data structures,algorithm,slla insertfirst subalgoritm elem,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla insertfirst subalgoritm elem
element elem,related_to,slla,0.4,cs1_clean.txt,element elem add beginning slla
newelems array position,related_to,newnext array position execute end,0.4,cs1_clean.txt,newelems array position newnext array position execute end execute
onet zsuzsanna data structures,algorithm,slla insertfirst,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla insertfirst
necessary newelems,related_to,newposition elem,0.4,cs1_clean.txt,necessary newelems newnext end newposition elem
newposition,end,subalgorithm complexity lect,1.0,cs1_clean.txt,newposition end subalgorithm complexity lect
onet zsuzsanna data structures,algorithm,slla insertfirst,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla insertfirst
necessary newelems,related_to,newposition elem,0.4,cs1_clean.txt,necessary newelems newnext end newposition elem
newposition,related_to,subalgorithm complexity amortize,0.4,cs1_clean.txt,newposition end subalgorithm complexity amortize lect
onet zsuzsanna data structures,algorithm,slla,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla
integer,related_to,slla slla elem telem poz integer number element elem insert slla position,0.4,cs1_clean.txt,slla slla elem telem poz integer number element elem insert slla position pos pos invalid position end
integer,related_to,pos pos invalid position end,0.4,cs1_clean.txt,slla slla elem telem poz integer number element elem insert slla position pos pos invalid position end
slla slla elem telem poz integer number element elem insert slla position,related_to,pos pos invalid position end,0.4,cs1_clean.txt,slla slla elem telem poz integer number element elem insert slla position pos pos invalid position end
onet zsuzsanna data structures,algorithm,newelem,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla insertposition nodcurrent pozcurrent poz execute pozcurrent pozcurrent nodcurrent end nodcurrent atunci newelem
elem,related_to,newelem slide lect,0.4,cs1_clean.txt,elem newelem slide lect
onet zsuzsanna data structures,algorithm,subalgorithm complexity lect,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla insertposition invalid position end end end subalgorithm complexity lect
onet zsuzsanna data structures,algorithm,subalgorithm complexity lect,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla insertposition invalid position end end end subalgorithm complexity lect
onet zsuzsanna data structures,algorithm,slla insertposition observations insertposition,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla insertposition observations insertposition subalgorithm similar sll iterate list find element insert denote code nodcurrent index array
slla insertposition observations insertposition,subalgorithm,similar sll iterate list,0.7,cs1_clean.txt,onet zsuzsanna data structures algorithms slla insertposition observations insertposition subalgorithm similar sll iterate list find element insert denote code nodcurrent index array
node insert,related_to,special case situation insert position node insert,0.4,cs1_clean.txt,treat special case situation insert position node insert
operation,take,resize,1.0,cs1_clean.txt,operation take parameter position need check valid position element store array need add operation space need resize
extra position,related_to,list position,0.4,cs1_clean.txt,resize extra position add list position
onet zsuzsanna data structures,algorithm,subalgorithm elem,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla deleteelement subalgorithm elem
onet zsuzsanna data structures,algorithm,slla deleteelement nodc position list space,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla deleteelement nodc position list space
onet zsuzsanna data structures,algorithm,slla iterator,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla iterator
onet zsuzsanna data structures,algorithm,slla iterator,1.0,cs1_clean.txt,onet zsuzsanna data structures algorithms slla iterator
link list,go,element incremente currentelement follow link,1.0,cs1_clean.txt,link list go element incremente currentelement follow link
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms
today,related_to,summary,0.4,cs1_clean.txt,summary today talk xor link list skip list define link list array
today,related_to,xor link list skip list define link list array,0.4,cs1_clean.txt,summary today talk xor link list skip list define link list array
summary,related_to,xor link list skip list define link list array,0.4,cs1_clean.txt,summary today talk xor link list skip list define link list array
extra reading solution problem,related_to,previous extra reading lect,0.4,cs1_clean.txt,extra reading solution problem previous extra reading lect
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs1_clean.txt,onet zsuzsanna data structures algorithms
onet zsuzsanna,related_to,onet zsuzsanna babe s bolyai university computer science mathematics faculty lect,0.4,cs2_clean.txt,onet zsuzsanna babe s bolyai university computer science mathematics faculty lect
onet zsuzsanna,related_to,onet zsuzsanna data structures,0.4,cs2_clean.txt,onet zsuzsanna data structures algorithms
cuckoo hash perfect hash link hash table tree,related_to,lect,0.4,cs2_clean.txt,lecture cuckoo hash perfect hash link hash table tree binary tree lect
onet zsuzsanna,related_to,today,0.4,cs2_clean.txt,onet zsuzsanna data structures algorithms today binary tree binary search tree lect
onet zsuzsanna,related_to,onet zsuzsanna data structures algorithms,0.4,cs2_clean.txt,onet zsuzsanna data structures algorithms today binary tree binary search tree lect
onet zsuzsanna,related_to,binary tree binary search tree,0.4,cs2_clean.txt,onet zsuzsanna data structures algorithms today binary tree binary search tree lect
today,related_to,onet zsuzsanna data structures algorithms,0.4,cs2_clean.txt,onet zsuzsanna data structures algorithms today binary tree binary search tree lect
today,related_to,binary tree binary search tree,0.4,cs2_clean.txt,onet zsuzsanna data structures algorithms today binary tree binary search tree lect
onet zsuzsanna data structures algorithms,related_to,binary tree binary search tree,0.4,cs2_clean.txt,onet zsuzsanna data structures algorithms today binary tree binary search tree lect
onet zsuzsanna data structures,algorithm,binary tree,1.0,cs2_clean.txt,onet zsuzsanna data structures algorithms binary tree
recap order tree node child call,related_to,binary tree,0.4,cs2_clean.txt,recap order tree node child call binary tree
binary tree child node,leave,child,1.0,cs2_clean.txt,binary tree child node left child right child
onet zsuzsanna data structures,algorithm,possible representation,1.0,cs2_clean.txt,onet zsuzsanna data structures algorithms possible representation want implement binary tree representation use
option representation array,related_to,similar binary heap link representation dynamic allocation array,0.4,cs2_clean.txt,option representation array similar binary heap link representation dynamic allocation array lect
onet zsuzsanna data structures,algorithm,possible representation representation array store element array position array root tree,1.0,cs2_clean.txt,onet zsuzsanna data structures algorithms possible representation representation array store element array position array root tree leave child node position position
special value,need,denote place element,1.0,cs2_clean.txt,special value need denote place element
